ID,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU21,AU23,AU24,AU26,AU28,AU43
UJ089NYYZ,0.2836186,0.09353353,0.25794747,0.4430018,0.2364155,0.30357143,0.17983827,0.10821495,0.48214287,0.19069377,0.6740193,0.2586672,0.4511649,0.5714286,0.45601755,0.72708213,0.2249309,0.09662002,0.33789182,0.06559974
UOTXWTUC0,0.42832744,0.12865227,0.6407099,0.3181589,0.15543705,0.044444446,0.15698944,0.06121073,0.75555557,0.058239635,0.36967435,0.1890402,0.44126058,0.0,0.50390047,0.6209469,0.007449162,0.08538967,0.114349835,0.035908014
UTS9JP85G,0.19484873,0.14726187,0.37662622,0.40976542,0.2422428,0.023255814,0.17445593,0.021189272,0.6511628,0.09890611,0.5512615,0.38516065,0.51776034,0.0,0.48312417,0.672848,0.0059464555,0.19376065,0.42819574,0.05492889
V37U9R33F,0.5078977,0.19463606,0.6188126,0.34029657,0.085889824,0.17283951,0.20204604,0.057159066,0.7160494,0.07245566,0.38731697,0.2296231,0.39607134,0.45679012,0.52538717,0.53382415,0.05642823,0.14553656,0.5927603,0.21437122
WEHIINTSD,0.21616133,0.12340249,0.3333288,0.30997774,0.16861865,0.015873017,0.13933876,0.1062997,0.6666667,0.13795148,0.49019927,0.3394033,0.3681735,0.14285715,0.57286835,0.7127367,0.024635082,0.10271258,0.21410985,0.062388044
XWDEYVGS8,0.5326832,0.34624854,0.121960245,0.39698464,0.10870303,0.027777778,0.10594986,0.09272856,0.5,0.069477454,0.46403518,0.26096094,0.36887252,0.8055556,0.7779311,0.74868804,0.0133882575,0.15335761,0.30589858,0.05043668
Y2ZBH8XB3,0.4749675,0.2552847,0.08818742,0.31299278,0.101915374,0.014285714,0.12646624,0.0071984148,0.5857143,0.05138942,0.3259263,0.0947799,0.45382032,0.028571429,0.47411603,0.6490488,0.038846377,0.22781913,0.42428154,0.12036876
YL1W6WYHN,0.34530666,0.24303794,0.2667848,0.3599148,0.18812199,0.09090909,0.16420434,0.43601426,0.18181819,0.19798948,0.5208253,0.61742157,0.4776428,0.90909094,0.7734862,0.5774918,0.07619046,0.14738391,0.2636303,0.22687349
YWHYGZER3,0.17997065,0.20107633,0.16342448,0.41269317,0.066327505,0.018181818,0.108610265,0.05112446,0.8363636,0.04808062,0.2958109,0.32309538,0.34936094,0.036363635,0.49650514,0.53290164,0.1876082,0.33989117,0.3529798,0.038555246
ZJXKEIW9J,0.3681384,0.18449925,0.2590488,0.3219733,0.085389785,0.016129032,0.13307463,0.034451697,0.46774194,0.038559858,0.291384,0.13721618,0.4328928,0.11290322,0.3399353,0.55290383,0.014293889,0.06679305,0.20498511,0.2881099
