Pregunta(X),AU(Y),a,b,t,p
q17,AU17,0.391,0.0027,0.2674,0.790723
q17,AU20,0.5785,-0.0904,-2.32,0.026298
q17,AU23,0.5442,-0.0111,-0.7913,0.434103
q17,AU24,0.4508,0.0244,1.3666,0.180462
q17,AU25,0.1896,-0.0211,-1.1261,0.267803
q17,AU26,0.151,0.0081,0.5354,0.59579
q17,AU28,0.3604,-0.0099,-0.4328,0.667786
q17,AU43,0.0885,0.0058,0.7005,0.488249
q18,AU01,0.3735,-0.0008,-0.0448,0.964535
q18,AU02,0.334,-0.0165,-1.0607,0.296069
q18,AU04,0.4613,-0.0344,-1.4559,0.154324
q18,AU05,0.4311,-0.0204,-2.6597,0.011718
q18,AU06,0.1256,-0.0008,-0.0964,0.923789
q18,AU07,0.1205,-0.0135,-1.2287,0.227398
q18,AU09,0.1584,-0.0014,-0.153,0.87929
q18,AU10,0.0998,0.0005,0.0388,0.969294
q18,AU11,0.559,-0.0008,-0.0279,0.977882
q18,AU12,0.0809,0.0021,0.1906,0.849919
q18,AU14,0.346,0.0055,0.3229,0.748657
q18,AU15,0.1554,0.0136,1.1276,0.267141
q18,AU17,0.3807,0.0053,0.5801,0.565549
q18,AU20,0.5249,-0.0747,-2.0937,0.043602
q18,AU23,0.5355,-0.0086,-0.6779,0.502316
q18,AU24,0.4848,0.0151,0.9247,0.361441
q18,AU25,0.1442,-0.009,-0.5224,0.604655
q18,AU26,0.1584,0.006,0.44,0.662615
q18,AU28,0.3598,-0.0096,-0.4618,0.647104
q18,AU43,0.0573,0.0136,1.9135,0.063891
